
   INFO  Server running on [http://127.0.0.1:8081].  

  Press Ctrl+C to stop the server

  2026-06-20 10:19:23 /api/v1/admin/users ............................................ ~ 0.11ms
  2026-06-20 10:19:23 /api/v1/auth/login ............................................. ~ 0.04ms
  2026-06-20 10:19:23 /api/v1/admin/users/1/disable .................................. ~ 0.02ms
  2026-06-20 10:19:23 /api/v1/auth/login ............................................. ~ 0.01ms
  2026-06-20 10:19:24 /api/v1/internal/geodns/health-view ............................ ~ 0.09ms
  2026-06-20 10:19:29 /api/v1/admin/users .......................................... ~ 503.41ms
  2026-06-20 10:19:32 /api/v1/node/resolver/config ................................... ~ 0.08ms
  2026-06-20 10:19:32 /api/v1/node/nodes/heartbeat ................................... ~ 0.39ms
  2026-06-20 10:19:32 /api/v1/node/resolver/config ................................... ~ 0.02ms
  2026-06-20 10:19:34 /api/v1/admin/users/2/disable .................................. ~ 0.10ms
  2026-06-20 10:19:39 /api/v1/internal/geodns/health-view ............................ ~ 0.07ms
  2026-06-20 10:19:44 /api/v1/admin/users/2/disable .................................. ~ 0.06ms
  2026-06-20 10:19:54 /api/v1/admin/users ............................................ ~ 0.50ms
  2026-06-20 10:19:54 /api/v1/admin/menu-config ...................................... ~ 0.04ms
  2026-06-20 10:19:54 /api/v1/internal/geodns/health-view ............................ ~ 0.03ms
  2026-06-20 10:20:02 /api/v1/node/resolver/config ................................... ~ 0.24ms
  2026-06-20 10:20:02 /api/v1/node/nodes/heartbeat ................................... ~ 0.37ms
  2026-06-20 10:20:02 /api/v1/node/resolver/config ................................... ~ 0.01ms
  2026-06-20 10:20:07 /api/v1/admin/finance/balances ............................... ~ 501.75ms
  2026-06-20 10:20:08 /api/v1/admin/finance/recharges ................................ ~ 0.10ms
  2026-06-20 10:20:09 /api/v1/admin/finance/bills .................................... ~ 0.09ms
  2026-06-20 10:20:09 /api/v1/internal/geodns/health-view ............................ ~ 0.02ms
  2026-06-20 10:20:24 /api/v1/internal/geodns/health-view ............................ ~ 0.18ms
  2026-06-20 10:20:26 /api/v1/admin/finance/refunds .................................. ~ 0.05ms
